,roomHeight,roomWidth,barrier,barrierRadius,barrierPos,doorWidth,numAgents,agentMass,desiredSpeed,escapeTime
0,20.0,10.0,,,,1.5,49.0,80.0,3.0,2639.0
1,20.0,10.0,,,,1.5,49.0,80.0,3.465916378175619,2674.0
2,20.0,10.0,,,,1.5,49.0,80.0,4.004192113501999,2435.0
3,20.0,10.0,,,,1.5,49.0,80.0,4.626065009182741,3985.0
4,20.0,10.0,,,,1.5,49.0,80.0,5.344518160610536,1737.0
5,20.0,10.0,,,,1.5,49.0,80.0,6.174551008772363,1651.0
6,20.0,10.0,,,,1.5,49.0,80.0,7.133492489728305,1486.0
7,20.0,10.0,,,,1.5,49.0,80.0,8.241362817914036,1331.0
8,20.0,10.0,,,,1.5,49.0,80.0,9.521291456365278,1356.0
9,20.0,10.0,,,,1.5,49.0,80.0,3.0,2927.0
10,20.0,10.0,,,,1.5,49.0,80.0,3.707792751067341,2934.0
11,20.0,10.0,,,,1.5,49.0,80.0,4.58257569495584,2064.0
12,20.0,10.0,,,,1.5,49.0,80.0,5.663746980991548,2166.0
13,20.0,10.0,,,,1.5,49.0,80.0,7.0,1641.0
14,20.0,10.0,,,,2.121320343559643,49.0,80.0,3.0,1612.0
15,20.0,10.0,,,,2.121320343559643,49.0,80.0,3.707792751067341,1211.0
16,20.0,10.0,,,,2.121320343559643,49.0,80.0,4.58257569495584,906.0
17,20.0,10.0,,,,2.121320343559643,49.0,80.0,5.663746980991548,861.0
18,20.0,10.0,,,,2.121320343559643,49.0,80.0,7.0,732.0
19,20.0,10.0,,,,3.0,49.0,80.0,3.0,717.0
20,20.0,10.0,,,,3.0,49.0,80.0,3.707792751067341,717.0
21,20.0,10.0,,,,3.0,49.0,80.0,4.58257569495584,525.0
22,20.0,10.0,,,,3.0,49.0,80.0,5.663746980991548,506.0
23,20.0,10.0,,,,3.0,49.0,80.0,7.0,489.0
24,20.0,10.0,,,,1.5,84.0,80.0,3.0,4218.0
25,20.0,10.0,,,,1.5,84.0,80.0,3.707792751067341,4507.0
26,20.0,10.0,,,,1.5,84.0,80.0,4.58257569495584,3239.0
27,20.0,10.0,,,,1.5,84.0,80.0,5.663746980991548,3147.0
28,20.0,10.0,,,,1.5,84.0,80.0,7.0,3284.0
29,20.0,10.0,,,,2.121320343559643,84.0,80.0,3.0,2058.0
30,20.0,10.0,,,,2.121320343559643,84.0,80.0,3.707792751067341,2084.0
31,20.0,10.0,,,,2.121320343559643,84.0,80.0,4.58257569495584,1385.0
32,20.0,10.0,,,,2.121320343559643,84.0,80.0,5.663746980991548,1158.0
33,20.0,10.0,,,,2.121320343559643,84.0,80.0,7.0,1202.0
34,20.0,10.0,,,,3.0,84.0,80.0,3.0,1091.0
35,20.0,10.0,,,,3.0,84.0,80.0,3.707792751067341,927.0
36,20.0,10.0,,,,3.0,84.0,80.0,4.58257569495584,784.0
37,20.0,10.0,,,,3.0,84.0,80.0,5.663746980991548,726.0
38,20.0,10.0,,,,3.0,84.0,80.0,7.0,599.0
39,20.0,10.0,,,,1.5,141.0,80.0,3.0,6000.0
40,20.0,10.0,,,,1.5,141.0,80.0,3.707792751067341,6000.0
41,20.0,10.0,,,,1.5,141.0,80.0,4.58257569495584,5716.0
42,20.0,10.0,,,,1.5,141.0,80.0,5.663746980991548,4916.0
43,20.0,10.0,,,,1.5,141.0,80.0,7.0,4789.0
44,20.0,10.0,,,,2.121320343559643,141.0,80.0,3.0,3557.0
45,20.0,10.0,,,,2.121320343559643,141.0,80.0,3.707792751067341,3034.0
46,20.0,10.0,,,,2.121320343559643,141.0,80.0,4.58257569495584,2530.0
47,20.0,10.0,,,,2.121320343559643,141.0,80.0,5.663746980991548,1849.0
48,20.0,10.0,,,,2.121320343559643,141.0,80.0,7.0,1819.0
49,20.0,10.0,,,,3.0,141.0,80.0,3.0,1785.0
50,20.0,10.0,,,,3.0,141.0,80.0,3.707792751067341,1479.0
51,20.0,10.0,,,,3.0,141.0,80.0,4.58257569495584,1327.0
52,20.0,10.0,,,,3.0,141.0,80.0,5.663746980991548,1093.0
53,20.0,10.0,,,,3.0,141.0,80.0,7.0,823.0
54,20.0,10.0,,,,1.5,237.0,80.0,3.0,6000.0
55,20.0,10.0,,,,1.5,237.0,80.0,3.707792751067341,6000.0
56,20.0,10.0,,,,1.5,237.0,80.0,4.58257569495584,6000.0
57,20.0,10.0,,,,1.5,237.0,80.0,5.663746980991548,6000.0
58,20.0,10.0,,,,1.5,237.0,80.0,7.0,5649.0
59,20.0,10.0,,,,2.121320343559643,237.0,80.0,3.0,4934.0
60,20.0,10.0,,,,2.121320343559643,237.0,80.0,3.707792751067341,3952.0
61,20.0,10.0,,,,2.121320343559643,237.0,80.0,4.58257569495584,3538.0
62,20.0,10.0,,,,2.121320343559643,237.0,80.0,5.663746980991548,2865.0
63,20.0,10.0,,,,2.121320343559643,237.0,80.0,7.0,2157.0
64,20.0,10.0,,,,3.0,237.0,80.0,3.0,2449.0
65,20.0,10.0,,,,3.0,237.0,80.0,3.707792751067341,2049.0
66,20.0,10.0,,,,3.0,237.0,80.0,4.58257569495584,1674.0
67,20.0,10.0,,,,3.0,237.0,80.0,5.663746980991548,1441.0
68,20.0,10.0,,,,3.0,237.0,80.0,7.0,1631.0
69,20.0,10.0,,,,1.5,400.0,80.0,3.0,6000.0
70,20.0,10.0,,,,1.5,400.0,80.0,3.707792751067341,6000.0
71,20.0,10.0,,,,1.5,400.0,80.0,4.58257569495584,6000.0
72,20.0,10.0,,,,1.5,400.0,80.0,5.663746980991548,6000.0
73,20.0,10.0,,,,1.5,400.0,80.0,7.0,6000.0
74,20.0,10.0,,,,2.121320343559643,400.0,80.0,3.0,6000.0
75,20.0,10.0,,,,2.121320343559643,400.0,80.0,3.707792751067341,6000.0
76,20.0,10.0,,,,2.121320343559643,400.0,80.0,4.58257569495584,4675.0
77,20.0,10.0,,,,2.121320343559643,400.0,80.0,5.663746980991548,3792.0
78,20.0,10.0,,,,2.121320343559643,400.0,80.0,7.0,3329.0
79,20.0,10.0,,,,3.0,400.0,80.0,3.0,3377.0
80,20.0,10.0,,,,3.0,400.0,80.0,3.707792751067341,2911.0
81,20.0,10.0,,,,3.0,400.0,80.0,4.58257569495584,2352.0
82,20.0,10.0,,,,3.0,400.0,80.0,5.663746980991548,2046.0
83,20.0,10.0,,,,3.0,400.0,80.0,7.0,1746.0
